unique_id,Title,Air_date,TP_min,Rating,Votes
1, Gamis zarebi,1997,95,9.8,5
2, The Shards,2024,90,7.8,6
3, Chakluli suli,1994,75,7.8,6
4, Jara,2017,52,8.2,6
5, Ochabamba,1994,75,7.4,6
6, Enki-Benki,2002,80,8.4,6
7, All about People,2015,71,7.0,6
8, Tskals sazghvrebi ar akvs,2021,85,8.4,6
9, Mokvetili,1992,95,7.4,6
11," Midi Dzmao, Midi!",2011,90,8.2,7
13, The Many Faces of Comrade Gelovani,2014,67,7.2,7
16, When Time Passes,2024,53,8.5,8
17, Hamlet,2017,93,7.9,8
20, Eqvsi da shvidi,2004,67,7.6,8
21," Maidan, Nave of the World",2005,50,7.8,8
22, Khveuli kibit,2001,90,7.0,8
24, Tsarieli sivrtse,2001,97,7.8,8
26, Gvinis Akvani,2013,62,9.6,8
27, Natlisgeba,1994,76,5.4,8
28, Sanam Mama Dabrundeba,2018,75,7.1,8
29, 87 Candles,2024,55,8.9,9
30, Mister Dzidza,2013,100,6.6,9
31, Izi da jadokari,2019,68,6.7,9
32, Pastor Paul,2015,67,5.8,9
33, Month as a Day,2016,128,7.9,9
35, From Life to Life,2023,90,8.6,10
37, Sakartvelo,2023,115,8.6,10
38, Delirium,2003,65,7.4,10
39, A Wolf's Psychology,2009,112,7.6,10
41, Kidev erti qartuli istoria,2003,89,7.1,10
43, Luka,2016,81,7.6,10
44, 1+1-1,2023,13,9.2,10
45, Spam,2010,90,5.8,10
47, Napitsi Msajuli,2010,120,6.8,10
48, The Migration of the Angel,2001,77,8.4,11
49, Adopted,2011,99,7.6,11
50, Night Dance,1991,128,5.4,11
51, Leonardo,1993,90,6.7,11
52, Biblioteka,2014,54,5.8,11
53, Bluzi,1994,92,7.4,11
54, Bediani,1992,100,8.0,11
56, Gamodi,2023,98,5.9,12
57, Autaneli Ardadegebi,2015,90,7.2,12
58, I Didn't Cross the Border: The Border Crossed Me,2016,80,6.5,12
65, Matskhovris Saplavze Antebuli Santeli,2008,125,8.2,12
66, Threshold,2020,64,5.0,12
67," Didube, the Last Stop",2017,64,9.0,12
68, English Teacher,2012,56,8.3,13
69, Reverse,2006,56,7.5,13
70, Inconceivable Light,2022,82,8.2,13
73, Bambaziis samotxe,2010,75,8.2,13
74, Man,2018,98,8.9,13
75, Sergo Gotorani,2009,48,7.9,13
76, Transparent World,2018,82,7.0,14
77, Sakhli Sikharulisa,2009,70,6.4,14
78, Double Aliens,2015,56,7.8,14
79, Six Days,2013,56,7.4,14
80, Family,2017,45,7.0,14
81, 11Eleven Project,2012,75,7.8,14
82, Peplebis idzulebiti migratsia,2023,90,7.4,15
83, Blueberry Dreams,2024,75,7.9,15
84, The Harvest,2019,70,5.6,15
85, The Drummer,2022,84,7.1,15
86, How the Room Felt,2021,74,6.9,15
87, Gza tadzrisken,1994,80,8.4,15
88, #standwithme,2014,73,7.5,15
89, Kventinis Satvale,2008,93,3.7,15
90, Devout,2016,88,9.1,16
91, Rais Nasosi,2015,90,8.1,16
92, Imagining Emanuel,2011,52,5.2,16
93, What to Do with All This Love,2022,80,7.2,16
94, Saving Papua by Not Cycling There,2014,85,5.6,17
95, Deda-Shvili an ghame ar aris arasodes bolomde bneli,2024,89,8.2,18
98, Omi da Qortsili,2010,105,4.8,18
99, All that Passes By Through a Window That Doesn't Open,2017,70,7.4,18
100, Vegetable garden in the conflict zone,2022,84,8.7,18
102, Mkholod sikvdili modis autsileblad,1992,130,7.6,19
103, 5 Dreamers and a Horse,2022,80,7.3,20
104, Expres-Inpormatsia,1994,105,8.1,20
106, Don Juanis dabadeba,1995,125,7.8,20
108, Tatli Süt Köpügü,2022,109,5.5,21
109, Shadows of the Empire,2019,76,5.3,21
110, Tsarsulis achrdilebi,1995,114,8.4,21
111, Hotel Metalurg,2023,71,8.0,21
115, Life and Death of a Christmas Tree,2023,84,8.0,22
116, Aghdgoma,2022,94,8.2,22
117, Zgvarze,1993,77,7.5,22
118, Posledniy iskatel,2006,92,4.4,22
119, Budapest inferno: The Secret of the Molnar Janos Cave,2017,51,8.2,22
120, 3+3,2015,88,5.0,23
123, Bakhmaro heißt Paradies,2011,59,7.5,24
124, kai to treno paei ston ourano,2001,94,5.8,24
126, The Return,2023,105,6.3,25
127, Dead Souls' Vacation,2020,66,8.7,25
128, Teen Spirit,2012,84,8.2,26
129, Isini,1992,142,7.0,26
130, Netavi ik teatri aris?!,2011,55,9.1,26
131, Self-Portrait Along the Borderline,2023,50,8.1,26
132, In the Name of Blood,2024,108,7.6,27
133, See You in Chechnya,2016,69,7.0,27
134, Orpeosis sikvdili,1996,85,7.5,27
135, Midjachvuli raindebi,2000,91,8.0,27
136, Antimoz iverieli,2001,210,8.4,27
137, The Enemies,2017,66,7.9,28
138, Subordinacia,2007,78,6.1,28
139, Life is Be,2016,87,8.2,28
140, The Waltz on the Petschora,1992,108,6.9,29
142, Abandoned?,2013,65,4.1,29
143, Lukas sakhareba,1998,72,8.4,29
145, The Resting Samurai,2022,107,6.5,30
146, Ori,2009,85,7.0,31
147, Nutsas skola,2000,114,7.5,31
148, Krapiva: Tsvetok smerti,2024,81,5.7,32
150, The Watchmaker,2011,90,8.0,32
152, Enemies,2017,65,8.7,32
153, Jadosnuri Mta,2023,73,6.9,34
154, Otsnebebis sasaplao,1997,90,7.5,34
156, Gogona Slaididan,2009,115,5.0,35
158, Svani,2007,90,7.1,37
159, Ra Mokhda Kievshi,2013,78,5.5,37
161, Patient No 1,2023,110,7.4,38
162, Gift,2013,50,8.4,38
163, Find Your Body,2012,110,7.0,39
164, Botso,2014,82,9.1,39
165, Curator,2019,76,4.9,39
166, Teper ya budu lyubyty tebe,2015,93,6.2,39
167," Enticing, Sugary, Boundless or Songs and Dances About Death",2017,96,8.3,40
168, Dabadebulebi Saqartveloshi,2011,81,6.5,41
169, Jakos Khiznebi,2009,110,6.6,41
170, Ursus,2020,110,6.2,42
171, Beautiful Helen,2022,92,5.8,42
172, Something About Georgia,2009,90,8.3,43
173, God of Happiness,2015,93,7.5,44
174, Garigeba 20 Tslis Shemdeg,2011,100,4.8,45
176, Marilivit Tetri,2011,85,6.3,46
177, Ak tendeba,1998,90,7.0,46
178, The Antique,2024,132,7.0,47
179, Ramin,2011,58,7.4,47
180, A Tunnel,2019,92,7.5,47
181, And the Sun Rises,2022,90,6.4,48
182, Tskhra mtas iqit,2015,112,6.7,49
184," Liza, go on",2023,120,5.7,50
185, Smiling Georgia,2023,62,7.2,50
186, Golden Thread,2019,90,7.3,51
187, Stay with Me,2011,79,5.0,51
188, Tbilisuri Love Story,2009,77,5.3,52
190, The Knight in Tiger's Skin,2022,108,7.3,54
191, The Chair,2017,97,6.1,56
192, Nina,2023,110,5.4,57
195, The Parts,2013,90,6.7,57
196, The Forgotten King,2014,110,7.7,59
197, Gogita's New Life,2016,74,8.3,60
200, Samotkhis gvritebi,1997,60,8.6,63
201, Pig,2019,80,7.5,64
202, Everybody's Gone,2013,115,6.5,64
203, Panopticon,2024,95,8.0,65
204, Lotto,2023,84,6.9,65
205, A Long Break,2022,110,6.6,66
206, Datuna: Portrait of America,2015,77,8.9,66
207, I Am Truly a Drop of Sun on Earth,2017,61,6.0,67
208, Arsena Jorjiashvili,1921,50,5.9,69
209, Judgement Night,2017,109,7.8,70
210, Parade,2018,87,7.0,70
211, Ormagi sakhe,1996,84,8.0,70
212, Taxi,2014,107,7.4,73
213, Seagull,2012,100,7.3,73
214, Light Falls,2023,95,6.1,74
215, My Dad's Girlfriend,2011,102,5.0,75
217, Holy Electricity,2024,104,7.3,78
218, Criminals,2015,75,7.0,78
219, Like Cotton Twines,2016,96,7.8,79
220, Women from Georgia,2009,54,7.0,80
222, Glory to the Queen,2020,82,7.4,82
226, The Summer of Frozen Fountains,2015,103,7.0,86
227, The Adventures of Ano & Vano,2011,105,6.8,89
229, Mediator,2008,92,8.1,93
230, Rac kvelaze dzalian gikvars 2,2009,112,6.7,94
232, Chomu ya zhyvyy,2021,120,7.2,96
233, Let the Summer Never Come Again,2017,202,6.2,99
234, Don't Breathe,2014,86,6.4,101
235, Inhale-Exhale,2019,91,6.2,101
236, Black Diamond,2010,101,7.5,102
237, Idiotocratia,2008,115,7.1,104
238, I'm Beso,2014,91,7.0,105
239," Bebia, à mon seul désir",2021,113,6.4,107
240, The Last Fortress: Hacibey,2020,100,5.8,110
241, Anna's Life,2016,108,6.7,111
243, I Will Die Without You,2010,100,7.6,112
245, When the Earth Seems to Be Light,2015,76,7.4,113
246, Neighbors,2018,90,7.8,115
247, Citizen Saint,2023,100,7.4,116
248, Chuzhaya molitva,2017,100,7.6,116
249, Tbilisi-Tbilisi,2005,87,7.3,117
250, Horizonti,2018,105,6.9,117
251, Chama da Sex,2011,85,6.2,120
253, Line of Credit,2014,125,6.7,121
